tokenizer,tokenizer_version,language,corpus,metric,value
deepseek-v3,main,ace_Arab,flores200_devtest,premium_ratio_estimate,2.7330017003227813
deepseek-v3,main,ace_Arab,flores200_devtest,premium_ratio_ci_lower,2.701677882062366
deepseek-v3,main,ace_Arab,flores200_devtest,premium_ratio_ci_upper,2.7647449291320063
deepseek-v3,main,ace_Arab,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,ace_Latn,flores200_devtest,premium_ratio_estimate,1.9735589133822096
deepseek-v3,main,ace_Latn,flores200_devtest,premium_ratio_ci_lower,1.950286460094394
deepseek-v3,main,ace_Latn,flores200_devtest,premium_ratio_ci_upper,1.9968922630996517
deepseek-v3,main,ace_Latn,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,acm_Arab,flores200_devtest,premium_ratio_estimate,1.6270328674381667
deepseek-v3,main,acm_Arab,flores200_devtest,premium_ratio_ci_lower,1.6095710638611498
deepseek-v3,main,acm_Arab,flores200_devtest,premium_ratio_ci_upper,1.6445489695160116
deepseek-v3,main,acm_Arab,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,acq_Arab,flores200_devtest,premium_ratio_estimate,1.6370382653422655
deepseek-v3,main,acq_Arab,flores200_devtest,premium_ratio_ci_lower,1.6197345372981893
deepseek-v3,main,acq_Arab,flores200_devtest,premium_ratio_ci_upper,1.6547868439521924
deepseek-v3,main,acq_Arab,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,aeb_Arab,flores200_devtest,premium_ratio_estimate,1.6534922157375684
deepseek-v3,main,aeb_Arab,flores200_devtest,premium_ratio_ci_lower,1.6350788466153054
deepseek-v3,main,aeb_Arab,flores200_devtest,premium_ratio_ci_upper,1.6729187364604503
deepseek-v3,main,aeb_Arab,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,afr_Latn,flores200_devtest,premium_ratio_estimate,1.6465769397868553
deepseek-v3,main,afr_Latn,flores200_devtest,premium_ratio_ci_lower,1.63157338105608
deepseek-v3,main,afr_Latn,flores200_devtest,premium_ratio_ci_upper,1.6616776045270627
deepseek-v3,main,afr_Latn,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,ajp_Arab,flores200_devtest,premium_ratio_estimate,1.5715780060669124
deepseek-v3,main,ajp_Arab,flores200_devtest,premium_ratio_ci_lower,1.5558575857328836
deepseek-v3,main,ajp_Arab,flores200_devtest,premium_ratio_ci_upper,1.5877454774468063
deepseek-v3,main,ajp_Arab,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,aka_Latn,flores200_devtest,premium_ratio_estimate,2.3971179420911297
deepseek-v3,main,aka_Latn,flores200_devtest,premium_ratio_ci_lower,2.362610268698876
deepseek-v3,main,aka_Latn,flores200_devtest,premium_ratio_ci_upper,2.4321654076164143
deepseek-v3,main,aka_Latn,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,als_Latn,flores200_devtest,premium_ratio_estimate,2.320621456571345
deepseek-v3,main,als_Latn,flores200_devtest,premium_ratio_ci_lower,2.2961605565030103
deepseek-v3,main,als_Latn,flores200_devtest,premium_ratio_ci_upper,2.3468369894941903
deepseek-v3,main,als_Latn,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,amh_Ethi,flores200_devtest,premium_ratio_estimate,6.056373631065226
deepseek-v3,main,amh_Ethi,flores200_devtest,premium_ratio_ci_lower,5.98661693877002
deepseek-v3,main,amh_Ethi,flores200_devtest,premium_ratio_ci_upper,6.127452512995558
deepseek-v3,main,amh_Ethi,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,apc_Arab,flores200_devtest,premium_ratio_estimate,1.5862337968722668
deepseek-v3,main,apc_Arab,flores200_devtest,premium_ratio_ci_lower,1.5694727551380476
deepseek-v3,main,apc_Arab,flores200_devtest,premium_ratio_ci_upper,1.6026263927614008
deepseek-v3,main,apc_Arab,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,arb_Arab,flores200_devtest,premium_ratio_estimate,1.6322619595126446
deepseek-v3,main,arb_Arab,flores200_devtest,premium_ratio_ci_lower,1.6152719049018496
deepseek-v3,main,arb_Arab,flores200_devtest,premium_ratio_ci_upper,1.650082602232618
deepseek-v3,main,arb_Arab,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,arb_Latn,flores200_devtest,premium_ratio_estimate,2.436915514893863
deepseek-v3,main,arb_Latn,flores200_devtest,premium_ratio_ci_lower,2.407704964310828
deepseek-v3,main,arb_Latn,flores200_devtest,premium_ratio_ci_upper,2.4674878917578327
deepseek-v3,main,arb_Latn,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,ars_Arab,flores200_devtest,premium_ratio_estimate,1.6392163078045516
deepseek-v3,main,ars_Arab,flores200_devtest,premium_ratio_ci_lower,1.6218196895098247
deepseek-v3,main,ars_Arab,flores200_devtest,premium_ratio_ci_upper,1.6570638473891526
deepseek-v3,main,ars_Arab,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,ary_Arab,flores200_devtest,premium_ratio_estimate,1.711092468582712
deepseek-v3,main,ary_Arab,flores200_devtest,premium_ratio_ci_lower,1.691795933026525
deepseek-v3,main,ary_Arab,flores200_devtest,premium_ratio_ci_upper,1.7319786345978425
deepseek-v3,main,ary_Arab,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,arz_Arab,flores200_devtest,premium_ratio_estimate,1.6468247882100169
deepseek-v3,main,arz_Arab,flores200_devtest,premium_ratio_ci_lower,1.6288466375304085
deepseek-v3,main,arz_Arab,flores200_devtest,premium_ratio_ci_upper,1.665449657571985
deepseek-v3,main,arz_Arab,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,asm_Beng,flores200_devtest,premium_ratio_estimate,2.726481793785426
deepseek-v3,main,asm_Beng,flores200_devtest,premium_ratio_ci_lower,2.6965399189621513
deepseek-v3,main,asm_Beng,flores200_devtest,premium_ratio_ci_upper,2.7573718683634674
deepseek-v3,main,asm_Beng,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,ast_Latn,flores200_devtest,premium_ratio_estimate,1.5625636336053847
deepseek-v3,main,ast_Latn,flores200_devtest,premium_ratio_ci_lower,1.5471544096194203
deepseek-v3,main,ast_Latn,flores200_devtest,premium_ratio_ci_upper,1.578266096734789
deepseek-v3,main,ast_Latn,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,awa_Deva,flores200_devtest,premium_ratio_estimate,2.9243638209111724
deepseek-v3,main,awa_Deva,flores200_devtest,premium_ratio_ci_lower,2.892898738301279
deepseek-v3,main,awa_Deva,flores200_devtest,premium_ratio_ci_upper,2.958037768741307
deepseek-v3,main,awa_Deva,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,ayr_Latn,flores200_devtest,premium_ratio_estimate,2.178610837609143
deepseek-v3,main,ayr_Latn,flores200_devtest,premium_ratio_ci_lower,2.148928676554324
deepseek-v3,main,ayr_Latn,flores200_devtest,premium_ratio_ci_upper,2.2099988093409673
deepseek-v3,main,ayr_Latn,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,azb_Arab,flores200_devtest,premium_ratio_estimate,2.063002037079716
deepseek-v3,main,azb_Arab,flores200_devtest,premium_ratio_ci_lower,2.0383296197304315
deepseek-v3,main,azb_Arab,flores200_devtest,premium_ratio_ci_upper,2.0881604981921433
deepseek-v3,main,azb_Arab,flores200_devtest,n_sentences,1012.0
deepseek-v3,main,azj_Latn,flores200_devtest,premium_ratio_estimate,2.518331190743194
deepseek-v3,main,azj_Latn,flores200_devtest,premium_ratio_ci_lower,2.4857489156877315
deepseek-v3,main,azj_Latn,flores200_devtest,premium_ratio_ci_upper,2.551937972841304
